raceId,driverRef,team_momentum,driver_momentum,driver_racecraft_index
170,coulthard,11.75141215183815,3.296212062776926,-1.2352133487083448
170,button,1.8925798856227058,9.212586641169286,3.824875633546837
170,frentzen,0.6759384099517963,12.529438934401293,-3.362480258138691
170,villeneuve,0.8830985087711225,9.715267130294889,0.412289758969598
170,herbert,0.21976669741268376,15.641474975613102,-2.141287417588759
170,salo,0.6400304391294475,9.500708614517444,2.62495407023415
170,irvine,0.21976669741268376,10.82960126760905,-1.306227272730767
170,diniz,0.6400304391294475,14.243693205142026,0.5673927652967208
170,zonta,0.8830985087711225,13.765397611371686,0.3872064791178523
170,wurz,0.9761383770231945,13.112152797300537,-0.3625139881145741
170,gene,0.0,14.450105024008332,6.234603609742256
170,verstappen,0.40247676271024185,14.563042864967995,-0.15346569405930421
170,rosa,0.40247676271024185,14.857010232728356,-2.3565536534239024
170,mazzacane,0.0,14.069895450242276,7.538284789675478
170,barrichello,8.558558767540656,3.7852478079639345,2.3475368529892657
170,alesi,0.0,17.467437639319144,-1.399161662426376
170,heidfeld,0.0,15.66733114784127,1.1947387160329817
170,fisichella,0.9761383770231945,13.55465373953264,-5.087900500489317
170,trulli,0.6759384099517963,10.988539268821535,-3.322232046928515
171,michael_schumacher,8.056392354537351,8.216163451245235,-5.891425523127135
171,hakkinen,11.996471553633183,2.3996539084537787,0.23118528759962986
171,ralf_schumacher,2.6987401551079735,7.851148888331087,0.9112322713821043
171,verstappen,0.32348294993897714,14.648804114589845,0.8580011578859775
171,wurz,0.784552428870133,13.090140651774236,0.8862518669554627
171,zonta,0.7097734258751655,13.418904344430132,0.5074790044930835
171,salo,0.5144121442096464,9.402434909765388,3.876179560105945
171,diniz,0.5144121442096464,13.607055969220697,1.2411080163077564
171,gene,0.0,14.361763248064566,6.384827385993782
171,mazzacane,0.0,14.644984875642047,7.040097535123027
171,fisichella,0.784552428870133,15.015946273680791,-6.051994590208291
171,alesi,0.0,17.76823250599588,-1.5170877529278017
171,heidfeld,0.0,16.532990454838586,-0.24275691159725368
171,villeneuve,0.7097734258751655,9.182343684304785,0.3313699567722188
171,button,2.6987401551079735,8.385785416237873,2.681631655649
171,herbert,0.17663325231171778,14.141688405439208,-1.5247492888909213
171,barrichello,8.056392354537351,6.575166574171124,0.31663354492110135
171,coulthard,11.996471553633183,3.4343439940946574,-0.7965096988809469
171,trulli,0.7395417355158506,13.149750419198119,-6.595565071811749
171,frentzen,0.7395417355158506,11.247910845146523,-2.309990274248668
171,rosa,0.32348294993897714,15.08134397827761,-1.8940346328710904
171,irvine,0.17663325231171778,10.663848452679579,-0.6456491147065879
172,michael_schumacher,8.432428644938629,6.820028103933601,-4.751591666194146
172,barrichello,8.432428644938629,8.59209406396128,-2.646726921947668
172,frentzen,0.5964601153804725,12.941206890125269,-4.184748958044892
172,villeneuve,0.7659245346468105,10.114431811047611,-1.667474842165106
172,coulthard,10.836314088833612,6.252410317567039,-3.157559900290525
172,zonta,0.7659245346468105,11.983544036482094,2.537502235425969
172,irvine,0.14245942452509122,12.888786426354365,-2.089082054722802
172,diniz,0.41488710123220046,12.522240043712129,2.548773519015519
172,heidfeld,0.0,15.839573064396324,1.1787735627829454
172,wurz,1.0197091473014004,11.52491400398874,2.2625725791341447
172,herbert,0.14245942452509122,14.501222182773153,-0.842804221282596
172,gene,0.0,13.324404928077008,7.471213665993793
172,alesi,0.0,16.65223321530033,0.130741782580513
172,mazzacane,0.0,13.746304071579505,7.999706501468974
172,ralf_schumacher,2.950499261974866,6.912580841219872,1.5088265241584553
172,rosa,0.8413176811669163,16.22644621111015,-3.6557962956075984
172,fisichella,1.0197091473014004,14.23896767785607,-5.268041605672012
172,verstappen,0.8413176811669163,12.588544264404366,2.046314275314433
172,hakkinen,10.836314088833612,2.322331526269201,0.37993044876004695
172,salo,0.41488710123220046,8.937627769544624,4.674028932698633
172,button,2.950499261974866,9.66545969710535,1.5823873219459619
172,trulli,0.5964601153804725,14.281617828457415,-7.834652579074062
173,michael_schumacher,9.879684046911983,5.706980506777996,-3.8428765204464024
173,hakkinen,9.1464187844379,5.51184169518017,-2.75263899970121
173,coulthard,9.1464187844379,6.012893897761657,-3.127427456719004
173,barrichello,9.879684046911983,7.331393200136115,-1.7580665679510137
173,button,2.3862328949910174,11.833126695220619,-1.5889008632985273
173,villeneuve,1.384423253458552,8.945081162953906,-0.5836021971604901
173,herbert,0.11521486189958538,13.8316331587941,0.8483322843923122
173,irvine,0.11521486189958538,11.749463164326043,0.24983319950924418
173,zonta,1.384423253458552,10.839224938129313,3.199685432515861
173,salo,0.3355422797174652,11.053244156624826,2.6326810142101005
173,diniz,0.3355422797174652,11.657387104082396,2.2525793060162136
173,rosa,0.6804204128471197,16.18313964855407,-2.5741571068598894
173,trulli,1.2473679499729924,15.757714949733817,-9.587473655154955
173,fisichella,0.8246955157633827,14.76699955965303,-4.64304705381765
173,mazzacane,0.0,13.794821989103948,7.8085182632938315
173,gene,0.0,13.071119944476871,7.954829810541821
