raceId,driverRef,driver_overall_avg,driver_track_avg,driver_street_avg,driver_high_deg_avg
164,rosa,15.333333333333334,15.333333333333334,15.333333333333334,16.0
165,michael_schumacher,3.4285714285714284,3.4285714285714284,3.4285714285714284,6.5
165,barrichello,7.142857142857143,7.142857142857143,7.142857142857143,3.0
165,fisichella,6.0,6.0,6.0,7.0
165,hakkinen,6.285714285714286,6.285714285714286,6.285714285714286,4.0
165,verstappen,15.285714285714286,15.285714285714286,15.285714285714286,12.5
165,trulli,12.571428571428571,12.571428571428571,12.571428571428571,15.0
165,coulthard,5.714285714285714,5.714285714285714,5.714285714285714,2.0
165,zonta,11.428571428571429,11.428571428571429,11.428571428571429,12.5
165,wurz,12.428571428571429,12.428571428571429,12.428571428571429,14.5
165,diniz,13.857142857142858,13.857142857142858,13.857142857142858,12.0
165,button,12.857142857142858,12.857142857142858,12.857142857142858,20.5
165,mazzacane,13.142857142857142,13.142857142857142,13.142857142857142,15.5
165,irvine,12.571428571428571,12.571428571428571,12.571428571428571,5.5
165,ralf_schumacher,9.285714285714286,9.285714285714286,9.285714285714286,15.5
165,villeneuve,11.857142857142858,11.857142857142858,11.857142857142858,6.0
165,gene,14.714285714285714,14.714285714285714,14.714285714285714,20.0
165,rosa,16.285714285714285,16.285714285714285,16.285714285714285,19.0
165,salo,11.0,11.0,11.0,5.5
165,alesi,15.428571428571429,15.428571428571429,15.428571428571429,17.5
165,heidfeld,14.833333333333334,14.833333333333334,14.833333333333334,13.5
165,frentzen,13.142857142857142,13.142857142857142,13.142857142857142,16.0
165,herbert,12.714285714285714,12.714285714285714,12.714285714285714,9.5
166,coulthard,5.875,5.875,10.5,3.6666666666666665
166,hakkinen,6.0,6.0,10.5,4.0
166,barrichello,6.5,6.5,10.5,2.6666666666666665
166,villeneuve,12.25,12.25,10.5,9.0
166,ralf_schumacher,9.875,9.875,10.5,15.0
166,trulli,11.75,11.75,10.5,12.0
166,frentzen,14.125,14.125,10.5,17.666666666666668
166,button,12.625,12.625,10.5,17.333333333333332
166,fisichella,5.625,5.625,10.5,5.666666666666667
166,salo,11.875,11.875,10.5,9.666666666666666
166,diniz,13.375,13.375,10.5,11.333333333333334
166,heidfeld,15.571428571428571,15.571428571428571,10.5,15.666666666666666
166,irvine,12.625,12.625,10.5,8.0
166,alesi,15.875,15.875,10.5,18.0
166,gene,14.875,14.875,10.5,18.666666666666668
166,michael_schumacher,3.125,3.125,10.5,4.666666666666667
166,rosa,16.375,16.375,10.5,18.333333333333332
166,wurz,12.0,12.0,10.5,12.666666666666666
166,mazzacane,13.0,13.0,10.5,14.333333333333334
166,verstappen,14.0,14.0,10.5,10.0
166,herbert,13.875,13.875,10.5,13.666666666666666
166,zonta,11.0,11.0,10.5,11.0
167,hakkinen,5.555555555555555,6.0,6.0,7.2
167,coulthard,5.333333333333333,5.875,5.875,7.2
167,barrichello,6.111111111111111,6.5,6.5,8.8
167,villeneuve,11.333333333333334,12.25,12.25,14.2
167,button,12.11111111111111,12.625,12.625,9.8
